ランキング,証券コード,企業名,配当利回り
701,4022,ラサ工,3.77
702,7925,前沢化成,3.77
703,6730,アクセル,3.76
704,2445,タカミヤ,3.76
705,6543,日宣,3.76
706,4028,石原産,3.76
707,6282,オイレス,3.76
708,7981,タカラスタ,3.75
709,2153,Ｅ・ＪＨＤ,3.75
710,8103,明和産,3.75
711,6322,タクミナ,3.75
712,1945,東京エネシス,3.75
713,1810,松井建,3.75
714,7893,プロネクサス,3.75
