ランキング,証券コード,企業名,配当利回り
80,1451,ＫＨＣ,5.44
81,5015,ＢＰカストロ,5.41
82,7148,ＦＰＧ,5.41
83,3321,ミタチ産業,5.39
84,5703,日軽金ＨＤ,5.38
85,9880,イノテック,5.37
86,3294,イーグランド,5.37
87,8897,ミラースＨＤ,5.36
88,5105,ＴＯＹＯ,5.35
89,8835,太平発,5.34
90,2676,高千穂交易,5.34
91,1911,住友林,5.32
92,7879,ノダ,5.31
93,6462,リケン,5.3
94,8887,リベレステ,5.3
95,3109,シキボウ,5.29
96,6358,酒井重,5.29
97,2737,トーメンデバ,5.28
98,9445,フォーバルＴ,5.26
99,1814,大末建,5.26
100,7905,大建工,5.26
101,6369,トヨカネツ,5.25
102,9303,住友倉,5.25
103,8140,リョーサン,5.24
104,2768,双日,5.23
105,9362,兵機海,5.23
106,8053,住友商,5.23
107,6804,ホシデン,5.21
108,4410,ハリマ化成Ｇ,5.21
109,7618,ＰＣデポ,5.2
110,5742,ＮＩＣ,5.2
111,6809,ＴＯＡ,5.2
112,8713,フィデアＨＤ,5.2
113,1939,四電工,5.19
114,4745,東京個別,5.18
115,5697,サンユウ,5.17
116,5702,大紀ア,5.17
117,5351,品川リフラ,5.16
118,4208,ＵＢＥ,5.16
119,4845,スカラ,5.15
120,8065,佐藤商,5.15
121,5391,Ａ＆ＡＭ,5.14
122,7523,アールビバン,5.14
123,8020,兼松,5.13
124,6333,帝国電,5.11
125,7525,リックス,5.11
126,1972,三晃金,5.1
127,8881,日神ＧＨＤ,5.1
128,5410,合同鉄,5.1
129,1861,熊谷組,5.09
130,5185,フコク,5.09
131,7467,萩原電気ＨＤ,5.09
132,9302,三井倉ＨＤ,5.08
133,3228,三栄建築,5.08
134,7488,ヤガミ,5.08
135,4968,荒川化,5.06
136,1941,中電工,5.06
137,4078,堺化学,5.06
138,4005,住友化,5.06
139,4042,東ソー,5.06
140,8892,日エスコン,5.05
141,3467,アグレ都市,5.05
142,7246,プレス工,5.04
143,4064,カーバイド,5.04
144,8005,スクロール,5.03
145,4767,ＴＯＷ,5.03
146,6292,カワタ,5.03
147,4634,洋インキＨＤ,5.03
148,4008,住友精化,5.01
149,3457,ＡｎｄＤｏ,5.01
150,5237,ノザワ,5.0
151,9761,東海リース,5.0
152,5214,日電硝,4.99
153,7593,ＶＴＨＤ,4.98
154,1870,矢作建,4.98
155,1430,１ｓｔコーポ,4.98
156,8935,ＦＪネクＨＤ,4.98
157,7957,フジコピアン,4.98
158,3023,ラサ商事,4.98
159,6941,山一電機,4.98
160,1929,日特建,4.97
161,1805,飛島建,4.97
162,7287,日精機,4.96
163,8931,和田興産,4.96
164,8903,サンウッド,4.96
165,7291,日本プラスト,4.96
166,5632,菱製鋼,4.96
167,7729,東京精,4.96
168,7812,クレステック,4.95
169,1871,ＰＳ三菱,4.95
170,8002,丸紅,4.95
171,1960,サンテック,4.95
172,4619,日特塗,4.94
173,7940,ウェーブＨＤ,4.94
174,8349,東北銀,4.94
175,9640,セゾン情報,4.93
176,6870,フェンオール,4.93
177,4932,アルマード,4.93
178,6998,タングス,4.93
179,8869,明和地所,4.92
180,9904,ベリテ,4.92
181,8141,新光商,4.92
182,8154,加賀電子,4.92
183,8091,ニチモウ,4.92
184,6384,昭和真空,4.91
185,4972,綜研化学,4.91
186,7949,小松ウオール,4.9
187,5079,ノバック,4.9
188,6247,日阪製,4.9
189,6237,イワキポンプ,4.89
190,7338,インヴァスト,4.89
191,6306,日工,4.89
192,4119,ピグメント,4.87
193,8871,ゴールドクレ,4.87
194,5184,ニチリン,4.87
195,8904,アバンティア,4.87
196,4248,竹本容器,4.86
197,2335,キューブシス,4.86
198,3486,グロバルＬＭ,4.86
199,8542,トマト銀,4.86
200,3156,レスターＨＤ,4.85
201,6523,ＰＨＣＨＤ,4.85
202,6463,ＴＰＲ,4.85
203,4423,アルテリア,4.84
204,1419,タマホーム,4.84
205,5659,日精線,4.83
206,5121,藤コンポ,4.83
207,5020,ＥＮＥＯＳ,4.82
208,7599,ＩＤＯＭ,4.82
209,8007,高島,4.82
210,8725,ＭＳ＆ＡＤ,4.82
211,3276,ＪＰＭＣ,4.81
212,8098,稲畑産,4.8
213,2485,ティア,4.8
214,8008,４℃ホールデ,4.8
215,6250,やまびこ,4.8
216,1853,森組,4.79
217,2763,エフティ,4.78
218,1719,安藤ハザマ,4.78
219,5280,ヨシコン,4.78
220,8101,クレオス,4.78
221,8593,三菱ＨＣキャ,4.78
222,7420,佐鳥電機,4.78
223,4220,リケンテクノ,4.78
224,9466,アイドマＭＣ,4.77
225,3151,バイタルＫＳ,4.77
226,7463,アドヴァンＧ,4.77
227,1723,日本電技,4.77
228,4061,デンカ,4.76
229,5464,モリ工業,4.76
230,7537,丸文,4.75
231,4116,大日精,4.75
232,6186,一蔵,4.75
233,7202,いすゞ,4.74
234,6623,愛電機,4.72
235,1980,ダイダン,4.71
236,7122,近畿車,4.71
237,3293,アズマハウス,4.71
238,9639,三協フロンテ,4.7
239,1887,日本国土開発,4.7
240,2715,エレマテック,4.7
241,6694,ズーム,4.69
242,2311,エプコ,4.69
243,2461,ファンコミ,4.69
244,7087,ウイルテック,4.68
245,5915,駒井ハルテク,4.68
246,7377,ＤＮＨＤ,4.68
247,9763,丸紅リ,4.67
248,3131,シンデンハイ,4.67
249,4221,大倉工,4.67
250,5302,カーボン,4.66
251,7950,日デコラ,4.66
252,3597,自重堂,4.65
253,3738,ティーガイア,4.65
254,5195,バンドー,4.65
255,9446,サカイＨＤ,4.65
256,3374,内外テック,4.65
257,3952,中央紙器,4.65
258,9769,学究社,4.64
259,8584,ジャックス,4.64
260,6789,ロランドＤＧ,4.64
261,7539,アイナボＨＤ,4.64
262,6382,トリニ工,4.64
263,5602,栗本鉄,4.64
264,6486,イーグル工,4.63
265,4714,リソー教育,4.63
266,1961,三機工,4.63
267,5201,ＡＧＣ,4.63
268,5480,冶金工,4.63
269,1807,佐藤渡辺,4.62
270,8068,菱洋エレク,4.62
271,7417,南陽,4.62
272,4708,りらいあ,4.62
273,5857,アサヒＨＤ,4.61
274,3513,イチカワ,4.61
275,2393,ケアサプライ,4.61
276,7822,永大産業,4.6
277,6379,レイズネク,4.6
278,6307,サンセイ,4.6
279,8560,宮崎太銀,4.6
280,5976,ネツレン,4.6
281,8014,蝶理,4.58
282,7877,永大化工,4.57
283,9872,北恵,4.57
284,6493,ＮＩＴＴＡＮ,4.56
285,6539,ＭＳジャパン,4.56
286,1951,エクシオＧ,4.56
287,3548,バロック,4.55
288,7673,ダイコー通産,4.55
289,6648,かわでん,4.55
290,6178,日本郵政,4.55
291,3475,グッドコムＡ,4.55
292,5368,日本インシュ,4.55
293,6919,ケル,4.55
294,9908,Ｄｅｎｋｅｉ,4.54
295,1815,鉄建建設,4.54
296,8133,エネクス,4.53
297,8345,岩手銀,4.53
298,9698,クレオ,4.53
299,8630,ＳＯＭＰＯ,4.52
300,3388,明治電機工業,4.52
301,6643,戸上電,4.52
302,5356,美濃窯,4.51
303,9216,ビーウィズ,4.5
304,7229,ユタカ技研,4.5
305,2777,カッシーナ,4.5
306,1930,北陸電工,4.5
307,6189,Ｇキッズ,4.5
308,6319,シンニッタン,4.5
309,7775,大研医器,4.49
310,6788,日本トリム,4.49
311,7995,バルカー,4.49
312,6482,ユーシン精機,4.49
313,5331,ノリタケ,4.48
314,4234,サンエー化研,4.48
315,7231,トピー,4.47
316,3248,アールエイジ,4.47
317,7322,三十三ＦＧ,4.47
318,4544,ＨＵグループ,4.46
319,2760,東エレデバ,4.46
320,6742,京三,4.46
321,7944,ローランド,4.46
322,1982,日比谷設,4.46
323,4093,アセチレン,4.46
324,5983,イワブチ,4.45
325,5458,高砂鉄,4.45
326,6345,アイチコーポ,4.45
327,8061,西華産,4.45
328,2993,長栄,4.45
329,2121,ＭＩＸＩ,4.44
330,8898,センチュ２１,4.44
331,6652,ＩＤＥＣ,4.44
332,1802,大林組,4.43
333,6797,名古屋電機,4.43
334,5471,大同特鋼,4.42
335,7189,西日本ＦＨ,4.42
336,6317,北川鉄,4.42
337,3449,テクノフレ,4.42
338,7283,愛三工,4.41
339,6718,アイホン,4.41
340,3241,ウィル,4.41
341,7380,十六ＦＧ,4.41
342,1892,徳倉建,4.41
343,5992,中発条,4.4
344,4041,日曹達,4.4
345,4182,菱ガス化,4.4
346,3246,コーセーＲＥ,4.39
347,4502,武田,4.39
348,3291,飯田ＧＨＤ,4.39
349,6183,ベル２４ＨＤ,4.38
350,4367,広栄化学,4.38
351,1821,三井住友建設,4.37
352,5461,中部鋼鈑,4.37
353,6357,三精テクノロ,4.37
354,4188,三菱ケミＧ,4.37
355,9034,南総通運,4.37
356,4709,ＩＤＨＤ,4.37
357,5938,ＬＩＸＩＬ,4.36
358,7030,スプリックス,4.36
359,9717,ジャステック,4.36
360,8381,山陰合銀,4.36
361,6113,アマダ,4.36
362,6301,コマツ,4.35
363,8393,宮崎銀,4.35
364,3817,ＳＲＡＨＤ,4.35
365,8383,鳥取銀,4.34
366,7856,萩原工業,4.34
367,7916,光村印,4.34
368,8877,エスリード,4.34
369,8927,明豊エンタ,4.34
370,5660,神鋼線,4.34
371,5911,横河ブＨＤ,4.34
372,1928,積水ハウス,4.34
373,7718,スター精,4.34
374,7872,エステール,4.34
375,1925,大和ハウス,4.34
376,7609,ダイトロン,4.33
377,2499,日本和装,4.33
378,4215,タキロンＣＩ,4.33
379,7265,エイケン工業,4.32
380,6371,椿本チ,4.32
381,8367,南都銀,4.32
382,7464,セフテック,4.32
383,1721,コムシスＨＤ,4.31
384,4095,パーカライ,4.31
385,6757,ＯＳＧコーポ,4.31
386,6257,藤商事,4.31
387,6407,ＣＫＤ,4.31
388,7299,フジオーゼ,4.31
389,8889,ＡＰＡＭＡＮ,4.31
390,6763,帝通工,4.31
391,1867,植木組,4.29
392,2449,プラップＪ,4.29
393,9960,東テク,4.29
394,1605,ＩＮＰＥＸ,4.28
395,3143,オーウイル,4.28
396,7368,表示灯,4.28
397,1964,中外炉,4.28
398,8934,サンフロ不,4.27
399,7637,白銅,4.27
400,3244,サムティ,4.27
401,4631,ＤＩＣ,4.27
402,5187,クリエート,4.27
403,6471,日精工,4.26
404,6540,船場,4.26
405,7953,菊水化,4.26
406,7399,ナンシン,4.26
407,9788,ナック,4.26
408,7182,ゆうちょ銀,4.26
409,3847,パ・システム,4.26
410,8917,ファースト住,4.26
411,5367,ニッカトー,4.25
412,6445,ジャノメ,4.25
413,7240,ＮＯＫ,4.25
414,3299,ムゲンＥ,4.25
415,9913,日邦産業,4.25
416,5706,三井金,4.25
417,8309,三井住友トラ,4.25
418,6995,東海理,4.25
419,8558,東和銀,4.25
420,6703,ＯＫＩ,4.24
421,5989,エイチワン,4.24
422,4725,ＣＡＣ,4.24
423,9832,オートバクス,4.24
424,5563,新日本電工,4.24
425,9366,サンリツ,4.24
426,6436,アマノ,4.24
427,6973,協栄産,4.23
428,6032,インタワクス,4.23
429,9743,丹青社,4.23
430,8095,アステナＨＤ,4.23
431,8411,みずほＦＧ,4.23
432,8563,大東銀,4.23
433,3020,アプライド,4.23
434,6339,新東工,4.22
435,8336,武蔵銀,4.22
436,4471,三洋化,4.21
437,7827,オービス,4.21
438,5021,コスモＨＤ,4.21
439,7472,鳥羽洋行,4.21
440,7575,日本ライフＬ,4.21
441,7327,第四北越ＦＧ,4.21
442,5950,パワーファス,4.2
443,1994,高橋ウォール,4.2
444,4748,構造計画,4.19
445,9991,ジェコス,4.19
446,8291,日産東ＨＤ,4.19
447,9709,ＮＣＳ＆Ａ,4.19
448,7264,ＭＵＲＯ,4.19
449,9072,ニッコンＨＤ,4.18
450,8410,セブン銀,4.18
451,8046,丸藤パ,4.18
452,3436,ＳＵＭＣＯ,4.18
453,2488,ＪＴＰ,4.17
454,9536,西部ガスＨＤ,4.17
455,7250,太平洋工,4.17
456,7460,ヤギ,4.16
457,7313,ＴＳテック,4.16
458,8860,フジ住,4.15
459,8537,大光銀,4.15
460,1866,北野建,4.14
461,7751,キヤノン,4.13
462,9632,スバル,4.13
463,7671,ＡｍｉｄＡＨ,4.13
464,3877,中越パ,4.13
465,7955,クリナップ,4.13
466,9260,ウィズメタク,4.13
467,8908,毎コムネット,4.12
468,3423,エスイー,4.12
469,7966,リンテック,4.12
470,9934,因幡電産,4.12
471,7435,ナ・デックス,4.12
472,8316,三井住友ＦＧ,4.12
473,4044,セ硝子,4.12
474,9644,タナベ,4.12
475,6930,日本アンテナ,4.11
476,8203,ＭｒＭａｘ,4.11
477,3173,コミニックス,4.11
478,4461,一工薬,4.11
479,5658,日亜鋼,4.11
480,5958,三洋工,4.11
481,1717,明豊ファシリ,4.11
482,3003,ヒューリック,4.1
483,3035,ＫＴＫ,4.1
484,2107,東洋糖,4.1
485,9682,ＤＴＳ,4.1
486,1775,Ｅ＆Ｃ,4.1
487,7928,旭化学,4.1
488,4092,日本化,4.09
489,7224,新明和,4.09
490,6373,大同工,4.09
491,9351,洋埠頭,4.09
492,6871,日本マイクロ,4.08
493,5929,三和ＨＤ,4.08
494,7242,ＫＹＢ,4.08
495,7181,かんぽ生命,4.08
496,1952,新日空調,4.08
497,5933,アルインコ,4.08
498,7820,ニホンフラ,4.08
499,1764,工藤建設,4.08
500,3553,共和レ,4.08
501,6844,新電元,4.08
502,4521,科研薬,4.08
503,3551,ダイニック,4.07
504,7623,サンオータス,4.07
505,5923,高田機,4.07
506,4792,山田コンサル,4.07
507,1946,トーエネク,4.07
508,1813,不動テトラ,4.07
509,7337,ひろぎんＨＤ,4.07
510,8995,誠建設,4.07
511,7022,サノヤスＨＤ,4.06
512,7865,ピープル,4.06
513,5729,日精鉱,4.06
514,9384,内外トランス,4.06
515,4642,オリジナル設,4.06
516,3172,ティーライフ,4.05
517,4224,ロンシール,4.05
518,4658,日本空調,4.05
519,6248,横田製,4.05
520,5970,ジーテクト,4.05
521,3526,芦森工,4.05
522,2411,ゲンダイ,4.05
523,8070,東京産,4.05
524,2304,ＣＳＳ,4.05
525,6989,北電工,4.05
526,1776,三井住建道,4.05
527,1904,大成温調,4.04
528,3132,マクニカＨＤ,4.04
529,9622,スペース,4.04
530,6932,遠藤照明,4.04
531,9306,東陽倉,4.04
532,6440,ＪＵＫＩ,4.04
533,8804,東建物,4.03
534,1515,日鉄鉱,4.03
535,3405,クラレ,4.03
536,4202,ダイセル,4.03
537,9213,セイファート,4.03
538,6507,シンフォニア,4.03
539,5984,兼房,4.02
540,4668,明光ネット,4.02
541,7896,セブン工業,4.02
542,3101,東洋紡,4.02
543,8925,アルデプロ,4.02
544,8159,立花エレ,4.02
545,7261,マツダ,4.02
546,8591,オリックス,4.01
547,9837,モリト,4.01
548,6629,Ｔホライゾン,4.01
549,6881,キョウデン,4.01
550,6488,ヨシタケ,4.01
551,3951,朝日印刷,4.0
552,3947,ダイナパック,4.0
553,3166,ＯＣＨＩＨＤ,4.0
554,7985,ネポン,4.0
555,9513,Ｊパワー,3.99
556,3041,ビ花壇,3.99
557,4928,ノエビアＨＤ,3.99
558,8395,佐賀銀,3.99
559,4183,三井化学,3.99
560,7722,国際計測,3.99
561,4839,ＷＯＷＯＷ,3.98
562,7177,ＧＭＯ－ＦＨ,3.98
563,8289,オリンピック,3.98
564,3504,丸八ＨＤ,3.98
565,6676,メルコ,3.98
566,8074,ユアサ商,3.97
567,1417,ミライトワン,3.97
568,7315,ＩＪＴＴ,3.97
569,3431,宮地エンジ,3.97
570,2674,ハードオフ,3.96
571,5076,インフロニア,3.96
572,7628,オーハシテク,3.96
573,2687,ＣＶＳベイ,3.96
574,3231,野村不ＨＤ,3.95
575,8011,三陽商,3.95
576,5019,出光興産,3.95
577,9651,日本プロセス,3.95
578,5715,古河機金,3.95
579,6042,ニッキ,3.94
580,1812,鹿島,3.94
581,6134,ＦＵＪＩ,3.94
582,9304,渋沢倉,3.94
583,7212,エフテック,3.93
584,8051,山善,3.93
585,4043,トクヤマ,3.93
586,8282,ケーズＨＤ,3.93
587,5463,丸一管,3.93
588,1893,五洋建,3.92
589,2294,柿安本店,3.92
590,7811,中本パックス,3.92
591,2961,日本調理機,3.92
592,5393,ニチアス,3.92
593,8714,池田泉州ＨＤ,3.92
594,6962,大真空,3.92
595,9368,キムラユニテ,3.91
596,6853,共和電,3.91
597,8399,琉球銀,3.91
598,1860,戸田建,3.91
599,7422,東邦レマック,3.91
600,8084,菱電商,3.9
601,9359,伊勢湾,3.9
602,5017,富士石油,3.9
603,5481,山陽鋼,3.9
604,9986,蔵王産業,3.9
605,7800,アミファ,3.9
606,6489,前沢工業,3.9
607,7570,橋本総業ＨＤ,3.9
608,6365,電業社,3.9
609,2689,オルバヘルス,3.9
610,6798,ＳＭＫ,3.9
611,1885,東亜建,3.89
612,8364,清水銀,3.89
613,8425,みずほリース,3.89
614,1736,オーテック,3.89
615,6167,冨士ダイス,3.89
616,7296,ＦＣＣ,3.89
617,5162,朝日ラバー,3.89
618,8173,上新電,3.89
619,3477,フォーライフ,3.88
620,6498,キッツ,3.88
621,5011,ニチレキ,3.88
622,6584,三桜工,3.88
623,3036,アルコニクス,3.88
624,8151,東陽テク,3.87
625,5979,カネソウ,3.87
626,4902,コニカミノル,3.87
627,8015,豊田通商,3.87
628,7791,ドリムベッド,3.87
629,9619,イチネンＨＤ,3.87
630,7958,天馬,3.87
631,8157,都築電,3.87
632,3433,トーカロ,3.86
633,6118,アイダ,3.86
634,3116,トヨタ紡織,3.85
635,7040,サンライフＨ,3.85
636,7961,兼松サステ,3.85
637,1934,ユアテック,3.85
638,3004,神栄,3.85
639,3501,住江織,3.84
640,5333,ガイシ,3.84
641,7267,ホンダ,3.84
642,6073,アサンテ,3.84
643,7217,テイン,3.84
644,1878,大東建,3.83
645,3407,旭化成,3.83
646,9856,ケーユーＨＤ,3.83
647,6103,オークマ,3.83
648,1898,世紀東急,3.83
649,3538,ウイルプラス,3.82
650,2136,ヒップ,3.82
651,3176,三洋貿易,3.82
652,7173,東京きらぼし,3.82
653,1810,松井建,3.82
654,3375,ＺＯＡ,3.82
655,9889,ＪＢＣＣＨＤ,3.82
656,8392,大分銀,3.82
657,8016,オンワード,3.82
658,7981,タカラスタ,3.82
659,2163,アルトナー,3.81
660,1786,オリエン白石,3.81
661,9066,日新,3.81
662,2445,タカミヤ,3.81
663,6328,荏原実業,3.81
664,5930,文化シヤタ,3.81
665,4676,フジＨＤ,3.8
666,1945,東京エネシス,3.8
667,6863,ニレコ,3.8
668,9233,アジア航,3.8
669,7956,ピジョン,3.8
670,7670,オーウエル,3.8
671,7272,ヤマハ発,3.8
672,2415,ヒューマン,3.8
673,3167,ＴＯＫＡＩ,3.8
674,8554,南日銀,3.79
675,1827,ナカノフドー,3.79
676,7059,コプロＨＤ,3.79
677,4238,ミライアル,3.79
678,5232,住友大阪,3.79
679,3157,ジューテック,3.78
680,7208,カネミツ,3.78
681,3834,朝日ネット,3.78
682,6730,アクセル,3.78
683,4229,群栄化,3.78
684,4028,石原産,3.78
685,6622,ダイヘン,3.78
686,8103,明和産,3.78
687,8018,三共興,3.78
688,6392,ヤマダコーポ,3.78
689,6322,タクミナ,3.77
690,5991,ニッパツ,3.77
691,3495,香陵住販,3.77
692,6282,オイレス,3.77
693,7823,アトネイチャ,3.77
694,3452,ビーロット,3.77
695,6644,大崎電,3.77
696,5363,ＴＹＫ,3.77
697,6715,ナカヨ,3.77
698,7893,プロネクサス,3.76
699,2117,ウェルネオＳ,3.76
700,8923,トーセイ,3.76
701,3611,マツオカ,3.76
702,9057,遠州トラック,3.75
703,6543,日宣,3.75
704,4620,藤倉化,3.75
705,6141,ＤＭＧ森精機,3.75
706,6293,日精樹脂,3.75
707,3800,ユニリタ,3.75
708,9412,スカパーＪ,3.75
709,3612,ワールド,3.75
