ランキング,証券コード,企業名,配当利回り
1,9104,商船三井,16.94
2,9101,郵船,16.72
3,9110,ユナイテド海,9.01
4,9308,乾汽船,8.8
5,1518,三井松島ＨＤ,8.53
6,1662,石油資源,7.84
7,1820,西松建,7.38
8,2914,ＪＴ,7.28
9,9107,川崎汽,7.22
10,5208,有沢製,6.92
11,5192,三星ベ,6.87
12,5009,富士興,6.82
13,8595,ジャフコＧ,6.66
14,5334,特殊陶,6.66
15,8886,ウッドＦ,6.59
16,7239,タチエス,6.57
17,3284,フージャース,6.47
18,6035,ＩＲジャパン,6.39
19,4595,ミズホメディ,6.38
20,6502,東芝,6.38
21,7744,ノーリツ鋼機,6.35
22,1852,浅沼組,6.35
23,5444,大和工,6.33
24,3948,光ビジネス,6.32
25,1833,奥村組,6.32
26,3245,ディアライフ,6.3
27,7638,ＮＥＷＡＲＴ,6.23
28,2986,ＬＡホールデ,6.23
29,2892,日食品,6.19
30,6651,日東工,6.17
31,8076,カノークス,6.15
32,7236,ティラド,6.14
33,9119,飯野海,6.05
34,8737,あかつき本社,6.03
35,7847,グラファイト,6.01
36,8996,フリーダム,6.0
37,5985,サンコール,6.0
38,7433,伯東,6.0
39,6156,エーワン精密,5.97
40,9268,オプティマス,5.97
41,3242,アーバネット,5.96
42,7494,コナカ,5.91
43,7088,フォーラムＥ,5.88
44,3465,ケイアイ不,5.87
45,7762,シチズン,5.87
46,9434,ＳＢ,5.86
47,7480,スズデン,5.85
48,4249,森六,5.83
49,8093,極東貿易,5.82
50,8150,三信電,5.82
51,9381,エーアイテイ,5.81
52,8075,神鋼商,5.81
53,8304,あおぞら銀,5.8
54,1822,大豊建,5.78
55,8999,グランディ,5.77
56,9282,いちごグリン,5.75
57,6461,日ピス,5.74
58,6918,アバール,5.72
59,5901,洋缶ＨＤ,5.72
60,6291,エアーテック,5.7
61,1720,東急建設,5.68
62,4031,片倉コープ,5.68
63,8893,新日建物,5.67
64,7414,小野建,5.67
65,5988,パイオラック,5.65
66,4705,クリップ,5.64
67,1847,イチケン,5.63
68,6393,油研工,5.59
69,2999,ホームポジ,5.58
70,7278,エクセディ,5.56
71,9147,ＮＸＨＤ,5.54
72,5408,中山鋼,5.52
73,1808,長谷工,5.52
74,6210,洋機械,5.5
75,2975,スターマイカ,5.5
76,7198,アルヒ,5.48
77,4246,ＤＮＣ,5.45
78,3447,信和,5.44
79,7284,盟和産,5.44
