ランキング,証券コード,企業名,配当利回り
1,9104,商船三井,17.02
2,9101,郵船,16.68
3,9110,ユナイテド海,8.98
4,9308,乾汽船,8.88
5,1518,三井松島ＨＤ,8.34
6,1662,石油資源,7.8
7,2914,ＪＴ,7.33
8,1820,西松建,7.31
9,9107,川崎汽,7.31
10,5208,有沢製,6.92
11,5009,富士興,6.78
12,5192,三星ベ,6.77
13,5334,特殊陶,6.72
14,7239,タチエス,6.62
15,8595,ジャフコＧ,6.57
16,3284,フージャース,6.48
17,7744,ノーリツ鋼機,6.47
18,8886,ウッドＦ,6.47
19,2986,ＬＡホールデ,6.44
20,6035,ＩＲジャパン,6.42
1,9104,商船三井,17.02
2,9101,郵船,16.68
3,9110,ユナイテド海,8.98
4,9308,乾汽船,8.88
5,1518,三井松島ＨＤ,8.34
6,1662,石油資源,7.8
7,2914,ＪＴ,7.33
8,1820,西松建,7.31
9,9107,川崎汽,7.31
10,5208,有沢製,6.92
11,5009,富士興,6.78
12,5192,三星ベ,6.77
13,5334,特殊陶,6.72
14,7239,タチエス,6.62
15,8595,ジャフコＧ,6.57
16,3284,フージャース,6.48
17,7744,ノーリツ鋼機,6.47
18,8886,ウッドＦ,6.47
19,2986,ＬＡホールデ,6.44
20,6035,ＩＲジャパン,6.42
21,4595,ミズホメディ,6.42
22,6502,東芝,6.36
23,1833,奥村組,6.31
24,5444,大和工,6.3
25,3245,ディアライフ,6.29
26,7638,ＮＥＷＡＲＴ,6.25
27,1852,浅沼組,6.25
28,8076,カノークス,6.21
29,3948,光ビジネス,6.21
30,7236,ティラド,6.21
31,6651,日東工,6.18
32,2892,日食品,6.16
33,7847,グラファイト,6.11
34,5985,サンコール,6.04
35,9119,飯野海,6.03
36,8737,あかつき本社,6.03
37,8996,フリーダム,5.97
38,7494,コナカ,5.95
39,3242,アーバネット,5.94
40,7433,伯東,5.93
41,8093,極東貿易,5.91
42,6156,エーワン精密,5.91
43,9268,オプティマス,5.9
44,7088,フォーラムＥ,5.89
45,7762,シチズン,5.89
46,9434,ＳＢ,5.88
47,7480,スズデン,5.86
48,3465,ケイアイ不,5.84
49,4249,森六,5.82
50,8075,神鋼商,5.8
