ランキング,証券コード,企業名,配当利回り
51,6291,エアーテック,5.76
52,6918,アバール,5.76
53,9282,いちごグリン,5.75
54,9381,エーアイテイ,5.74
55,6461,日ピス,5.74
56,8150,三信電,5.74
57,8999,グランディ,5.74
58,8893,新日建物,5.71
59,1822,大豊建,5.69
60,2975,スターマイカ,5.68
61,4031,片倉コープ,5.68
62,1720,東急建設,5.67
63,5901,洋缶ＨＤ,5.67
64,5988,パイオラック,5.66
65,4705,クリップ,5.66
66,1847,イチケン,5.64
67,7278,エクセディ,5.63
68,8304,あおぞら銀,5.61
69,7414,小野建,5.6
70,6393,油研工,5.6
71,1808,長谷工,5.54
72,9147,ＮＸＨＤ,5.53
73,2999,ホームポジ,5.52
74,4246,ＤＮＣ,5.49
75,6210,洋機械,5.48
76,7284,盟和産,5.46
77,3447,信和,5.46
78,5703,日軽金ＨＤ,5.45
79,7198,アルヒ,5.45
80,1451,ＫＨＣ,5.45
81,5015,ＢＰカストロ,5.45
82,5408,中山鋼,5.41
83,5105,ＴＯＹＯ,5.4
84,3294,イーグランド,5.4
85,9880,イノテック,5.4
86,7148,ＦＰＧ,5.38
87,3321,ミタチ産業,5.37
88,8897,ミラースＨＤ,5.36
89,2676,高千穂交易,5.36
90,2737,トーメンデバ,5.34
91,6462,リケン,5.32
92,1911,住友林,5.3
93,3109,シキボウ,5.3
94,6358,酒井重,5.3
95,5702,大紀ア,5.29
96,8835,太平発,5.28
97,7879,ノダ,5.27
98,9445,フォーバルＴ,5.26
99,6809,ＴＯＡ,5.26
100,1814,大末建,5.25
101,7905,大建工,5.25
102,5237,ノザワ,5.25
103,6369,トヨカネツ,5.25
104,2768,双日,5.24
105,4410,ハリマ化成Ｇ,5.24
106,7618,ＰＣデポ,5.24
107,8053,住友商,5.23
108,8887,リベレステ,5.23
109,5742,ＮＩＣ,5.22
110,6804,ホシデン,5.22
111,8140,リョーサン,5.21
112,9303,住友倉,5.2
113,4845,スカラ,5.19
114,4208,ＵＢＥ,5.18
115,5410,合同鉄,5.16
116,1939,四電工,5.16
117,9362,兵機海,5.15
118,5351,品川リフラ,5.15
119,5391,Ａ＆ＡＭ,5.14
120,8020,兼松,5.13
121,5185,フコク,5.12
122,7523,アールビバン,5.12
123,1972,三晃金,5.12
124,7525,リックス,5.11
125,4005,住友化,5.1
126,4767,ＴＯＷ,5.1
127,8065,佐藤商,5.09
128,8881,日神ＧＨＤ,5.09
129,1861,熊谷組,5.09
130,4745,東京個別,5.08
131,4064,カーバイド,5.08
132,7488,ヤガミ,5.08
133,4042,東ソー,5.07
134,7246,プレス工,5.07
135,4078,堺化学,5.07
136,4932,アルマード,5.06
137,5214,日電硝,5.06
138,3228,三栄建築,5.06
139,6292,カワタ,5.05
140,3467,アグレ都市,5.05
141,1941,中電工,5.05
142,6333,帝国電,5.05
143,7957,フジコピアン,5.04
144,4968,荒川化,5.04
145,5697,サンユウ,5.03
146,7467,萩原電気ＨＤ,5.03
147,4634,洋インキＨＤ,5.02
148,1870,矢作建,5.01
149,4008,住友精化,5.01
150,8892,日エスコン,5.0
151,1430,１ｓｔコーポ,5.0
152,7287,日精機,5.0
153,9761,東海リース,5.0
154,8005,スクロール,5.0
155,3023,ラサ商事,5.0
156,7729,東京精,4.98
157,4619,日特塗,4.98
158,7291,日本プラスト,4.98
159,1929,日特建,4.97
160,8713,フィデアＨＤ,4.97
161,1871,ＰＳ三菱,4.96
162,8903,サンウッド,4.96
163,8935,ＦＪネクＨＤ,4.96
164,6941,山一電機,4.96
165,3457,ＡｎｄＤｏ,4.96
166,1805,飛島建,4.96
167,9302,三井倉ＨＤ,4.95
168,8931,和田興産,4.95
169,7593,ＶＴＨＤ,4.95
170,7940,ウェーブＨＤ,4.95
171,7599,ＩＤＯＭ,4.94
172,7812,クレステック,4.94
173,8091,ニチモウ,4.94
174,6384,昭和真空,4.94
175,8002,丸紅,4.93
176,5079,ノバック,4.93
177,4119,ピグメント,4.93
178,6870,フェンオール,4.93
179,7949,小松ウオール,4.92
180,7338,インヴァスト,4.92
181,6998,タングス,4.92
182,8869,明和地所,4.91
183,6247,日阪製,4.9
184,6237,イワキポンプ,4.9
185,9640,セゾン情報,4.9
186,5184,ニチリン,4.9
187,1960,サンテック,4.9
188,9904,ベリテ,4.89
189,8871,ゴールドクレ,4.89
190,6306,日工,4.89
191,4972,綜研化学,4.88
192,6523,ＰＨＣＨＤ,4.88
193,8154,加賀電子,4.88
194,6463,ＴＰＲ,4.88
195,8141,新光商,4.87
196,8904,アバンティア,4.87
197,5659,日精線,4.86
198,3156,レスターＨＤ,4.86
199,3486,グロバルＬＭ,4.85
200,1419,タマホーム,4.85
201,2335,キューブシス,4.85
202,6250,やまびこ,4.85
203,8101,クレオス,4.84
204,4248,竹本容器,4.84
205,5632,菱製鋼,4.84
206,7202,いすゞ,4.83
207,8008,４℃ホールデ,4.83
208,2485,ティア,4.83
209,8007,高島,4.82
210,5121,藤コンポ,4.82
211,4423,アルテリア,4.81
212,5280,ヨシコン,4.81
213,1853,森組,4.81
214,5020,ＥＮＥＯＳ,4.8
215,4061,デンカ,4.8
216,8593,三菱ＨＣキャ,4.8
217,3276,ＪＰＭＣ,4.8
218,3151,バイタルＫＳ,4.8
219,8098,稲畑産,4.78
220,7463,アドヴァンＧ,4.78
221,3131,シンデンハイ,4.78
222,9466,アイドマＭＣ,4.77
223,7420,佐鳥電機,4.77
224,8725,ＭＳ＆ＡＤ,4.77
225,6186,一蔵,4.77
226,4116,大日精,4.77
227,2715,エレマテック,4.76
228,1719,安藤ハザマ,4.76
229,6694,ズーム,4.76
230,9639,三協フロンテ,4.76
231,2763,エフティ,4.76
232,8349,東北銀,4.75
233,1887,日本国土開発,4.75
234,4220,リケンテクノ,4.75
235,1723,日本電技,4.73
236,3293,アズマハウス,4.73
237,7122,近畿車,4.73
238,6623,愛電機,4.72
239,5464,モリ工業,4.72
240,2311,エプコ,4.7
241,4708,りらいあ,4.7
242,6486,イーグル工,4.69
243,6789,ロランドＤＧ,4.69
244,2461,ファンコミ,4.69
245,1980,ダイダン,4.68
246,5302,カーボン,4.68
247,5915,駒井ハルテク,4.68
248,8542,トマト銀,4.68
249,5201,ＡＧＣ,4.67
250,7377,ＤＮＨＤ,4.66
251,9763,丸紅リ,4.66
252,7950,日デコラ,4.66
253,5195,バンドー,4.66
254,5602,栗本鉄,4.65
255,3597,自重堂,4.65
256,9446,サカイＨＤ,4.65
257,6382,トリニ工,4.65
258,3952,中央紙器,4.65
259,7539,アイナボＨＤ,4.65
260,8584,ジャックス,4.64
261,3738,ティーガイア,4.64
262,2777,カッシーナ,4.63
263,7537,丸文,4.63
264,6919,ケル,4.62
265,8068,菱洋エレク,4.62
266,1807,佐藤渡辺,4.62
267,4221,大倉工,4.62
268,1961,三機工,4.62
269,7673,ダイコー通産,4.62
270,6539,ＭＳジャパン,4.61
271,3513,イチカワ,4.61
272,9872,北恵,4.61
273,7822,永大産業,4.6
274,5976,ネツレン,4.6
275,5480,冶金工,4.6
276,6379,レイズネク,4.59
277,5857,アサヒＨＤ,4.59
278,7087,ウイルテック,4.59
279,4714,リソー教育,4.59
280,3548,バロック,4.59
281,6307,サンセイ,4.59
282,9769,学究社,4.57
283,7229,ユタカ技研,4.57
284,8133,エネクス,4.57
285,2393,ケアサプライ,4.56
286,7417,南陽,4.56
287,1815,鉄建建設,4.55
288,6648,かわでん,4.55
289,7877,永大化工,4.55
290,5368,日本インシュ,4.55
291,6493,ＮＩＴＴＡＮ,4.54
292,9908,Ｄｅｎｋｅｉ,4.54
293,3388,明治電機工業,4.54
294,1930,北陸電工,4.53
295,3374,内外テック,4.53
296,1951,エクシオＧ,4.52
297,7995,バルカー,4.52
298,3475,グッドコムＡ,4.52
299,8630,ＳＯＭＰＯ,4.52
300,5356,美濃窯,4.51
301,4234,サンエー化研,4.51
302,6643,戸上電,4.51
303,9698,クレオ,4.51
304,8014,蝶理,4.51
305,2121,ＭＩＸＩ,4.51
306,6742,京三,4.51
307,5331,ノリタケ,4.51
308,7775,大研医器,4.5
309,6183,ベル２４ＨＤ,4.5
310,7231,トピー,4.49
311,4093,アセチレン,4.49
312,6178,日本郵政,4.49
313,6788,日本トリム,4.48
314,7944,ローランド,4.48
315,4544,ＨＵグループ,4.48
316,3248,アールエイジ,4.48
317,6482,ユーシン精機,4.48
318,6319,シンニッタン,4.48
319,2993,長栄,4.47
320,5983,イワブチ,4.45
321,4182,菱ガス化,4.45
322,6652,ＩＤＥＣ,4.45
323,5992,中発条,4.45
324,6718,アイホン,4.45
325,6345,アイチコーポ,4.45
326,6317,北川鉄,4.44
327,1982,日比谷設,4.44
328,4041,日曹達,4.44
329,1802,大林組,4.43
330,8345,岩手銀,4.43
331,4709,ＩＤＨＤ,4.42
332,8898,センチュ２１,4.42
333,6797,名古屋電機,4.42
334,3449,テクノフレ,4.42
335,7283,愛三工,4.42
336,8061,西華産,4.42
337,5660,神鋼線,4.41
338,7030,スプリックス,4.41
339,1892,徳倉建,4.41
340,5471,大同特鋼,4.41
341,2760,東エレデバ,4.4
342,9717,ジャステック,4.4
343,4502,武田,4.39
344,9034,南総通運,4.39
345,5938,ＬＩＸＩＬ,4.39
346,3241,ウィル,4.39
347,3291,飯田ＧＨＤ,4.38
348,6357,三精テクノロ,4.38
349,3246,コーセーＲＥ,4.38
350,4188,三菱ケミＧ,4.38
351,3817,ＳＲＡＨＤ,4.38
352,6757,ＯＳＧコーポ,4.38
353,6113,アマダ,4.38
354,5458,高砂鉄,4.38
355,4367,広栄化学,4.37
356,1821,三井住友建設,4.36
357,1925,大和ハウス,4.36
358,6189,Ｇキッズ,4.36
359,7265,エイケン工業,4.36
360,7718,スター精,4.36
361,6407,ＣＫＤ,4.35
362,4095,パーカライ,4.35
363,7872,エステール,4.34
364,8927,明豊エンタ,4.34
365,6371,椿本チ,4.34
366,7916,光村印,4.34
367,7856,萩原工業,4.34
368,4215,タキロンＣＩ,4.33
369,1928,積水ハウス,4.33
370,6763,帝通工,4.33
371,8560,宮崎太銀,4.33
372,7240,ＮＯＫ,4.32
373,5461,中部鋼鈑,4.32
374,8923,トーセイ,4.32
375,7464,セフテック,4.32
376,8877,エスリード,4.31
377,6301,コマツ,4.31
378,1964,中外炉,4.31
379,5911,横河ブＨＤ,4.31
380,1867,植木組,4.31
381,7368,表示灯,4.3
382,2499,日本和装,4.3
383,7299,フジオーゼ,4.3
384,9960,東テク,4.3
385,9743,丹青社,4.3
386,4631,ＤＩＣ,4.3
387,6995,東海理,4.3
388,8889,ＡＰＡＭＡＮ,4.3
389,1721,コムシスＨＤ,4.29
390,8908,毎コムネット,4.29
391,7609,ダイトロン,4.29
392,7637,白銅,4.29
393,7399,ナンシン,4.29
394,9913,日邦産業,4.29
395,6436,アマノ,4.28
396,5187,クリエート,4.28
397,9832,オートバクス,4.28
398,5706,三井金,4.28
399,6471,日精工,4.27
400,6540,船場,4.27
401,5021,コスモＨＤ,4.27
402,7575,日本ライフＬ,4.27
403,8917,ファースト住,4.27
404,9788,ナック,4.27
405,5563,新日本電工,4.27
406,3143,オーウイル,4.27
407,8934,サンフロ不,4.27
408,6703,ＯＫＩ,4.27
409,6257,藤商事,4.27
410,7322,三十三ＦＧ,4.27
411,5989,エイチワン,4.26
412,2449,プラップＪ,4.26
413,9366,サンリツ,4.26
414,1605,ＩＮＰＥＸ,4.26
415,6445,ジャノメ,4.26
416,4725,ＣＡＣ,4.26
417,3847,パ・システム,4.26
418,6032,インタワクス,4.26
419,7953,菊水化,4.25
420,7380,十六ＦＧ,4.24
421,7250,太平洋工,4.24
422,3299,ムゲンＥ,4.24
423,9260,ウィズメタク,4.24
424,5950,パワーファス,4.23
425,2488,ＪＴＰ,4.23
426,3244,サムティ,4.23
427,7827,オービス,4.23
428,6973,協栄産,4.23
429,8383,鳥取銀,4.22
430,8291,日産東ＨＤ,4.22
431,8095,アステナＨＤ,4.22
432,1994,高橋ウォール,4.21
433,6339,新東工,4.21
434,3020,アプライド,4.21
435,4471,三洋化,4.21
436,9632,スバル,4.21
437,4748,構造計画,4.21
438,7261,マツダ,4.21
439,7751,キヤノン,4.2
440,8381,山陰合銀,4.2
441,9709,ＮＣＳ＆Ａ,4.19
442,7313,ＴＳテック,4.19
443,7472,鳥羽洋行,4.19
444,7182,ゆうちょ銀,4.19
445,9536,西部ガスＨＤ,4.18
446,8046,丸藤パ,4.18
447,8860,フジ住,4.17
448,4461,一工薬,4.17
449,7189,西日本ＦＨ,4.17
450,9072,ニッコンＨＤ,4.17
451,3436,ＳＵＭＣＯ,4.17
452,7955,クリナップ,4.17
453,9991,ジェコス,4.17
454,7966,リンテック,4.16
455,1866,北野建,4.16
456,4044,セ硝子,4.16
457,9682,ＤＴＳ,4.16
458,7242,ＫＹＢ,4.16
459,7460,ヤギ,4.16
460,7264,ＭＵＲＯ,4.16
461,3877,中越パ,4.16
462,1764,工藤建設,4.16
463,1775,Ｅ＆Ｃ,4.16
464,8411,みずほＦＧ,4.16
465,8393,宮崎銀,4.16
466,5367,ニッカトー,4.15
467,9934,因幡電産,4.14
468,6930,日本アンテナ,4.14
469,9644,タナベ,4.14
470,3035,ＫＴＫ,4.13
471,6373,大同工,4.13
472,1717,明豊ファシリ,4.13
473,9213,セイファート,4.12
474,8011,三陽商,4.12
475,5958,三洋工,4.12
476,3423,エスイー,4.12
477,8203,ＭｒＭａｘ,4.12
478,5929,三和ＨＤ,4.12
479,7671,ＡｍｉｄＡＨ,4.12
480,6871,日本マイクロ,4.11
481,3003,ヒューリック,4.11
482,3173,コミニックス,4.11
483,6989,北電工,4.11
484,8563,大東銀,4.11
485,5658,日亜鋼,4.11
486,4658,日本空調,4.11
487,4092,日本化,4.11
488,7224,新明和,4.1
489,2107,東洋糖,4.1
490,7820,ニホンフラ,4.1
491,4792,山田コンサル,4.1
492,7435,ナ・デックス,4.1
493,1946,トーエネク,4.09
494,3553,共和レ,4.09
495,6844,新電元,4.09
496,8804,東建物,4.09
497,4642,オリジナル設,4.09
498,8367,南都銀,4.08
499,3405,クラレ,4.08
500,9351,洋埠頭,4.08
501,3172,ティーライフ,4.08
502,8070,東京産,4.08
503,5970,ジーテクト,4.08
504,6932,遠藤照明,4.08
505,3551,ダイニック,4.07
506,8995,誠建設,4.07
507,4202,ダイセル,4.07
508,5984,兼房,4.07
509,5923,高田機,4.07
510,5933,アルインコ,4.07
511,1813,不動テトラ,4.07
512,9216,ビーウィズ,4.06
513,9622,スペース,4.06
514,7022,サノヤスＨＤ,4.06
515,6440,ＪＵＫＩ,4.06
516,5729,日精鉱,4.06
517,9384,内外トランス,4.06
518,1952,新日空調,4.06
519,6881,キョウデン,4.05
520,6248,横田製,4.05
521,8309,三井住友トラ,4.05
522,7181,かんぽ生命,4.05
523,4521,科研薬,4.04
524,3101,東洋紡,4.04
525,3231,野村不ＨＤ,4.04
526,4668,明光ネット,4.04
527,8336,武蔵銀,4.03
528,1776,三井住建道,4.03
529,4183,三井化学,4.03
530,7896,セブン工業,4.03
531,8558,東和銀,4.03
532,9306,東陽倉,4.03
533,8410,セブン銀,4.02
534,3947,ダイナパック,4.02
535,7865,ピープル,4.02
536,1515,日鉄鉱,4.02
537,8925,アルデプロ,4.02
538,8316,三井住友ＦＧ,4.02
539,6507,シンフォニア,4.01
540,8159,立花エレ,4.01
541,4928,ノエビアＨＤ,4.01
542,2411,ゲンダイ,4.01
543,3504,丸八ＨＤ,4.01
544,1904,大成温調,4.01
545,8289,オリンピック,4.0
546,9837,モリト,4.0
547,6676,メルコ,4.0
548,8591,オリックス,4.0
549,3431,宮地エンジ,4.0
550,8074,ユアサ商,4.0
551,2304,ＣＳＳ,4.0
552,7811,中本パックス,3.99
553,6962,大真空,3.99
554,4839,ＷＯＷＯＷ,3.99
555,7327,第四北越ＦＧ,3.99
556,7315,ＩＪＴＴ,3.99
557,9513,Ｊパワー,3.99
558,2674,ハードオフ,3.98
559,4224,ロンシール,3.98
560,7722,国際計測,3.98
561,2687,ＣＶＳベイ,3.98
562,6134,ＦＵＪＩ,3.97
563,7623,サンオータス,3.97
564,5463,丸一管,3.97
565,2294,柿安本店,3.97
566,3041,ビ花壇,3.96
567,3951,朝日印刷,3.96
568,1417,ミライトワン,3.96
569,3526,芦森工,3.95
570,6488,ヨシタケ,3.95
571,8537,大光銀,3.95
572,7337,ひろぎんＨＤ,3.95
573,7212,エフテック,3.95
574,4902,コニカミノル,3.95
575,2689,オルバヘルス,3.95
576,6629,Ｔホライゾン,3.95
577,3132,マクニカＨＤ,3.95
578,4043,トクヤマ,3.95
579,7985,ネポン,3.94
580,5481,山陽鋼,3.94
581,7928,旭化学,3.94
582,7628,オーハシテク,3.94
583,6042,ニッキ,3.94
584,3166,ＯＣＨＩＨＤ,3.94
585,7296,ＦＣＣ,3.94
586,7422,東邦レマック,3.94
587,9359,伊勢湾,3.94
588,5393,ニチアス,3.94
589,5715,古河機金,3.93
590,5076,インフロニア,3.93
591,1812,鹿島,3.93
592,9304,渋沢倉,3.92
593,3116,トヨタ紡織,3.92
594,5019,出光興産,3.92
595,6853,共和電,3.92
596,9368,キムラユニテ,3.92
597,8282,ケーズＨＤ,3.92
598,6584,三桜工,3.92
599,2961,日本調理機,3.92
600,9651,日本プロセス,3.92
601,1893,五洋建,3.92
602,7958,天馬,3.92
603,8051,山善,3.92
604,7570,橋本総業ＨＤ,3.92
605,9986,蔵王産業,3.92
606,6498,キッツ,3.91
607,3433,トーカロ,3.91
608,8151,東陽テク,3.91
609,7267,ホンダ,3.91
610,6118,アイダ,3.91
611,7177,ＧＭＯ－ＦＨ,3.91
612,3036,アルコニクス,3.9
613,6489,前沢工業,3.9
614,8016,オンワード,3.9
615,7800,アミファ,3.9
616,8173,上新電,3.9
617,8084,菱電商,3.9
618,1860,戸田建,3.9
619,5162,朝日ラバー,3.9
620,6365,電業社,3.9
621,1736,オーテック,3.89
622,9619,イチネンＨＤ,3.89
623,8015,豊田通商,3.89
624,8425,みずほリース,3.89
625,5017,富士石油,3.89
626,8157,都築電,3.88
627,3477,フォーライフ,3.88
628,6167,冨士ダイス,3.88
629,9856,ケーユーＨＤ,3.87
630,3501,住江織,3.87
631,5979,カネソウ,3.87
632,1934,ユアテック,3.87
633,7791,ドリムベッド,3.87
634,6073,アサンテ,3.87
635,8570,イオンＦＳ,3.87
636,7040,サンライフＨ,3.86
637,2445,タカミヤ,3.86
638,5011,ニチレキ,3.86
639,6798,ＳＭＫ,3.86
640,1885,東亜建,3.86
641,6644,大崎電,3.86
642,5333,ガイシ,3.85
643,7961,兼松サステ,3.85
644,9889,ＪＢＣＣＨＤ,3.85
645,3176,三洋貿易,3.85
646,3004,神栄,3.85
647,7956,ピジョン,3.85
648,6392,ヤマダコーポ,3.84
649,7270,ＳＵＢＡＲＵ,3.84
650,3834,朝日ネット,3.84
651,3407,旭化成,3.84
652,9066,日新,3.84
653,2163,アルトナー,3.84
654,4676,フジＨＤ,3.83
655,7670,オーウエル,3.83
656,7272,ヤマハ発,3.83
657,6103,オークマ,3.83
658,6715,ナカヨ,3.83
659,7981,タカラスタ,3.83
660,6730,アクセル,3.83
661,8945,サンネクスタ,3.83
662,7208,カネミツ,3.83
663,7217,テイン,3.82
664,3375,ＺＯＡ,3.82
665,4238,ミライアル,3.82
666,1898,世紀東急,3.82
667,4028,石原産,3.82
668,4620,藤倉化,3.81
669,5930,文化シヤタ,3.81
670,7823,アトネイチャ,3.81
671,7059,コプロＨＤ,3.81
672,1945,東京エネシス,3.81
673,9233,アジア航,3.81
674,1810,松井建,3.81
675,8103,明和産,3.81
676,1827,ナカノフドー,3.8
677,3611,マツオカ,3.8
678,8395,佐賀銀,3.8
679,2117,ウェルネオＳ,3.8
680,7740,タムロン,3.8
681,9057,遠州トラック,3.8
682,6328,荏原実業,3.8
683,3167,ＴＯＫＡＩ,3.8
684,5991,ニッパツ,3.79
685,1878,大東建,3.79
686,7893,プロネクサス,3.78
687,8714,池田泉州ＨＤ,3.78
688,6322,タクミナ,3.78
689,3157,ジューテック,3.78
690,5232,住友大阪,3.78
691,3452,ビーロット,3.78
692,6282,オイレス,3.78
693,1786,オリエン白石,3.78
694,2579,コカＢＪＨ,3.77
695,4617,中国塗,3.77
696,2415,ヒューマン,3.77
697,6142,富士精,3.77
698,5363,ＴＹＫ,3.77
699,3546,アレンザＨＤ,3.76
700,3612,ワールド,3.76
701,8399,琉球銀,3.76
702,6543,日宣,3.76
703,6141,ＤＭＧ森精機,3.76
704,4671,ファルコＨＤ,3.76
705,6863,ニレコ,3.76
706,6287,サトーＨＤ,3.75
707,6622,ダイヘン,3.75
708,8424,芙蓉リース,3.75
709,4229,群栄化,3.75
710,1967,ヤマト,3.75
711,3261,グラン,3.75
712,7226,極東開発,3.75
713,8018,三共興,3.75
