ランキング,証券コード,企業名,配当利回り
1,9104,商船三井,16.27
2,9101,郵船,15.92
3,9308,乾汽船,8.75
4,9110,ユナイテド海,8.61
5,1518,三井松島ＨＤ,8.13
6,1820,西松建,7.15
7,9107,川崎汽,7.1
8,2914,ＪＴ,7.1
9,1662,石油資源,7.03
10,5208,有沢製,6.67
11,5334,特殊陶,6.66
12,4595,ミズホメディ,6.62
13,7744,ノーリツ鋼機,6.6
14,5009,富士興,6.6
15,5192,三星ベ,6.58
16,1822,大豊建,6.53
17,6502,東芝,6.44
18,8595,ジャフコＧ,6.38
19,7239,タチエス,6.33
20,3948,光ビジネス,6.31
21,8076,カノークス,6.21
22,3284,フージャース,6.2
23,1833,奥村組,6.2
24,7638,ＮＥＷＡＲＴ,6.16
25,3245,ディアライフ,6.14
26,6035,ＩＲジャパン,6.09
27,2986,ＬＡホールデ,6.08
28,7847,グラファイト,6.0
29,7236,ティラド,6.0
30,9268,オプティマス,5.99
31,1852,浅沼組,5.98
32,8996,フリーダム,5.97
33,5444,大和工,5.97
34,7494,コナカ,5.93
35,8737,あかつき本社,5.91
36,6156,エーワン精密,5.91
37,3242,アーバネット,5.88
38,5985,サンコール,5.87
39,6651,日東工,5.86
40,9119,飯野海,5.83
1,9104,商船三井,16.29
2,9101,郵船,15.92
3,9308,乾汽船,8.74
4,9110,ユナイテド海,8.61
5,1518,三井松島ＨＤ,8.12
6,1820,西松建,7.15
7,9107,川崎汽,7.13
8,2914,ＪＴ,7.09
9,1662,石油資源,7.06
10,5208,有沢製,6.66
11,5334,特殊陶,6.66
12,7744,ノーリツ鋼機,6.6
13,4595,ミズホメディ,6.59
14,5009,富士興,6.59
15,5192,三星ベ,6.58
16,1822,大豊建,6.52
17,6502,東芝,6.44
18,8595,ジャフコＧ,6.36
19,7239,タチエス,6.32
20,3948,光ビジネス,6.31
21,3284,フージャース,6.2
22,1833,奥村組,6.17
23,8076,カノークス,6.16
24,3245,ディアライフ,6.15
25,7638,ＮＥＷＡＲＴ,6.15
26,6035,ＩＲジャパン,6.08
27,2986,ＬＡホールデ,6.05
28,7847,グラファイト,6.02
29,7236,ティラド,6.0
30,1852,浅沼組,5.99
31,9268,オプティマス,5.99
32,8996,フリーダム,5.98
33,5444,大和工,5.96
34,8737,あかつき本社,5.93
35,7494,コナカ,5.91
36,6156,エーワン精密,5.91
37,3242,アーバネット,5.88
38,5985,サンコール,5.88
39,6651,日東工,5.86
40,9119,飯野海,5.84
41,8304,あおぞら銀,5.82
42,9434,ＳＢ,5.81
43,3465,ケイアイ不,5.78
44,7762,シチズン,5.75
45,9282,いちごグリン,5.75
46,7433,伯東,5.73
47,7088,フォーラムＥ,5.72
48,6461,日ピス,5.7
49,8093,極東貿易,5.69
50,9837,モリト,5.69
51,7480,スズデン,5.68
52,4249,森六,5.67
53,6918,アバール,5.67
54,8999,グランディ,5.64
55,8893,新日建物,5.63
56,1419,タマホーム,5.63
57,6291,エアーテック,5.63
58,9381,エーアイテイ,5.62
59,2999,ホームポジ,5.61
60,4705,クリップ,5.59
1,9104,商船三井,16.29
2,9101,郵船,15.92
3,9308,乾汽船,8.74
4,9110,ユナイテド海,8.61
5,1518,三井松島ＨＤ,8.12
6,1820,西松建,7.15
7,9107,川崎汽,7.13
8,2914,ＪＴ,7.09
9,1662,石油資源,7.06
10,5208,有沢製,6.66
11,5334,特殊陶,6.66
12,7744,ノーリツ鋼機,6.6
13,4595,ミズホメディ,6.59
14,5009,富士興,6.59
15,5192,三星ベ,6.58
16,1822,大豊建,6.52
17,6502,東芝,6.44
18,8595,ジャフコＧ,6.36
19,7239,タチエス,6.32
20,3948,光ビジネス,6.31
61,8150,三信電,5.59
62,5988,パイオラック,5.56
63,1847,イチケン,5.54
64,6393,油研工,5.54
65,9147,ＮＸＨＤ,5.54
66,1720,東急建設,5.53
67,7278,エクセディ,5.49
68,7414,小野建,5.49
69,5901,洋缶ＨＤ,5.47
70,2892,日食品,5.46
71,7879,ノダ,5.44
72,1808,長谷工,5.44
73,8869,明和地所,5.44
74,7198,アルヒ,5.43
75,6210,洋機械,5.43
76,4031,片倉コープ,5.43
77,8075,神鋼商,5.42
78,7284,盟和産,5.41
79,5237,ノザワ,5.4
80,3447,信和,5.39
81,1451,ＫＨＣ,5.38
82,5703,日軽金ＨＤ,5.35
83,5105,ＴＯＹＯ,5.32
84,7148,ＦＰＧ,5.30
85,8897,ミラースＨＤ,5.30
86,9880,イノテック,5.28
87,9445,フォーバルＴ,5.27
88,1911,住友林,5.26
89,5015,ＢＰカストロ,5.26
90,5742,ＮＩＣ,5.24
91,6804,ホシデン,5.23
92,3294,イーグランド,5.23
93,9362,兵機海,5.23
94,3109,シキボウ,5.23
95,8887,リベレステ,5.22
96,6462,リケン,5.19
97,1814,大末建,5.19
98,3228,三栄建築,5.19
99,2737,トーメンデバ,5.18
100,4246,ＤＮＣ,5.18
